usdot_num,id,user_created,date_created,user_updated,date_updated,complaint_category,complaint_year,complaint_count
3712697,696bf8d4-897c-4896-b704-4e6e163721e1,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.434Z,,,Insurance,2022,1
3379742,6972b2ed-14d9-4bcf-852d-d0908a06649f,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.560Z,,,Shipment Documents,2023,1
1151019,69919b19-a065-4e9e-acef-3057d6e40296,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.616Z,,,Claim Settlement,2021,3
2258113,6a55b33c-d4d3-4de3-ae69-5dd46cd805b0,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.971Z,,,Loss and Damage,2022,3
2247863,6a906034-d987-4af2-853e-bff3e30436f2,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.326Z,,,Estimates/Final Charges,2023,1
3491781,6ad3657b-961c-4e8f-906c-30e428d3d535,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.161Z,,,Loss and Damage,2021,8
1151019,6af0375a-55ce-4f8f-baa4-25242790dd83,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.642Z,,,Estimates/Final Charges,2023,1
2038052,6b002a97-dffb-4e88-822e-206d297b4a34,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.994Z,,,Estimates/Final Charges,2021,1
3307068,6b55b94f-608e-46cf-92f8-ce6ecdd18f4d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.676Z,,,Consumer Complaint(Deceptive Business Practices),2021,46
2372043,6b7ae47a-dd5e-4400-9a4b-466873299c67,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.110Z,,,Claim Settlement,2021,5
3006268,6bec405c-5800-4cb6-8e35-51d61b339bcb,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:13.937Z,,,Other Commercial Complaints,2022,1
3006268,6c143908-6986-419a-a6d8-0b723f7b0b7d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:13.915Z,,,Claim Settlement,2021,2
1413859,6c64c87e-1fb4-414c-b6e2-0a19281feb18,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.125Z,,,Claim Settlement,2022,1
3712697,6d2e09f7-3927-4017-94c3-2322e13bad8e,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.424Z,,,Pickup and Delivery,2021,1
2955542,6e81845c-5071-4a5c-913b-b7ff829576ef,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.101Z,,,Claim Settlement,2022,1
3712697,6ecaf0ee-2f57-4a54-b763-c6139dec6ba4,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.441Z,,,Weighing,2022,3
2918300,6f83e344-9a8e-4426-97ec-613ad8b23af4,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.088Z,,,Hostage,2022,1
1151019,7113db17-6ab1-47c5-89ac-882a5765af03,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.628Z,,,Hostage,2022,1
2372043,750dbf26-4b1e-43a5-9107-ee1943a24f96,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.104Z,,,Pickup and Delivery,2021,3
3505390,76d95e73-e258-470b-9230-93e181cd8a76,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.664Z,,,Shipment Documents,2021,2
3379742,774af3e3-c4b2-4185-9ec0-95c89ff9030a,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.562Z,,,Estimates/Final Charges,2023,1
2247863,77d1c256-fc0c-482a-97ac-1c46e7d14842,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.305Z,,,Estimates/Final Charges,2022,7
2886867,78ae57bb-bb4f-4185-a147-3d7c6428601d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.375Z,,,Hostage,2022,2
1664920,78cb7878-83bb-4fe0-a6a5-fbe7ca6847ac,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.020Z,,,Estimates/Final Charges,2022,2
3734350,79296400-86f3-4d03-9cd7-6c0432a5a6ff,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.154Z,,,Estimates/Final Charges,2022,1
3491781,7b3d0138-12a9-4ca5-9387-e762a0acb2da,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.149Z,,,Shipment Documents,2021,9
1151019,7bb45994-077e-40ad-ba62-417db8be2e9a,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.623Z,,,Estimates/Final Charges,2022,5
2886867,7bec2176-643c-4607-91d9-93d496ea139b,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.391Z,,,Estimates/Final Charges,2023,1
3376640,7c0ee10b-4e12-4c2e-aa87-68e473de4318,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.008Z,,,Shipment Documents,2023,1
8257,7c51636f-103a-4be4-91b3-669c4b4fc8b2,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.417Z,,,Consumer Complaint(Deceptive Business Practices),2023,1
3491781,7c9ce46f-2e79-4c5c-83f0-0a940a3ee6f5,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.154Z,,,Weighing,2021,7
1748105,7d042082-eccd-4356-afec-ff79a046358d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.221Z,,,Consumer Complaint(Deceptive Business Practices),2021,1
3307068,7d0b5d27-0b15-4ac4-9cdc-06ad66a46405,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.672Z,,,Claim Settlement,2021,17
2543958,7d3a4885-8564-4a9b-83dd-196109d80877,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.262Z,,,Shipment Documents,2022,6
2247863,7d6b5dff-189f-466f-b703-7ba0962ceb2c,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.293Z,,,Pickup and Delivery,2021,16
3180335,7da91224-fb42-43a0-9710-f367e760eccb,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.030Z,,,Pickup and Delivery,2023,1
2139244,7e840dfb-de9b-4847-8870-78330cfc171c,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.140Z,,,Hostage,2021,1
2247863,7e97921f-2342-4114-8368-11e51e4e0272,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.295Z,,,Loss and Damage,2021,7
3174328,7e9a09ab-3964-451e-be01-6c1048885a0a,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.199Z,,,Pickup and Delivery,2023,1
3013492,812f10e2-08b2-4d4c-b38b-f6f5459c0b90,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.413Z,,,Claim Settlement,2022,2
3491781,81ea4cf7-bdea-401a-b548-3efa941e4868,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.159Z,,,Pickup and Delivery,2021,3
3379742,81f6c272-2313-4b8e-84ab-be3141fa8724,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.535Z,,,Pickup and Delivery,2021,5
3376640,822f6ac3-b79e-449a-a985-ccb2d2c9c926,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.019Z,,,Claim Settlement,2023,1
3491781,822fef45-8431-4ca8-9f13-da3e074e8e55,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.157Z,,,Hostage,2021,5
2372043,844a6344-3f30-4e8b-affc-0732dadf11a7,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.132Z,,,Consumer Complaint(Deceptive Business Practices),2022,6
3787819,847970ac-dedd-423b-b689-0bba829b68e7,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.662Z,,,Claim Settlement,2023,1
3013492,84d428a6-4291-42e0-a679-6a8b7f0c9994,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.411Z,,,Pickup and Delivery,2022,1
2247863,84f17c4b-20d4-4610-90a3-496e9e888b50,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.288Z,,,Weighing,2021,9
2139244,85387d67-b33b-4c72-b555-59846b88cc28,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.149Z,,,Loss and Damage,2022,1
2821065,85588ccf-bca6-4fb3-95e4-645da190eaf6,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:13.982Z,,,Shipment Documents,2022,5
3180335,85e8c97f-1488-45b1-b51c-29857a252574,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.028Z,,,Hostage,2023,1
2247863,864b6a9e-40dc-401f-9a86-ebe22059424b,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.299Z,,,Claim Settlement,2021,7
3006268,86f4d42c-8c08-48e6-bc2e-2cf5de85d02b,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:13.955Z,,,Claim Settlement,2023,1
